"symbol";"token"
"ADANIPORTS";"15083"
"ASIANPAINT";"236"
"AXISBANK";"5900"
"BAJAJ-AUTO";"16669"
"BAJAJFINSV";"16675"
"BAJFINANCE";"317"
"BHARTIARTL";"10604"
"BPCL";"526"
"BRITANNIA";"547"
"CIPLA";"694"
"COALINDIA";"20374"
"DIVISLAB";"10940"
"DRREDDY";"881"
"EICHERMOT";"910"
"GAIL";"4717"
"GRASIM";"1232"
"HCLTECH";"7229"
"HDFC";"1330"
"HDFCBANK";"1333"
"HDFCLIFE";"467"
"HEROMOTOCO";"1348"
"HINDALCO";"1363"
"HINDUNILVR";"1394"
"ICICIBANK";"4963"
"INDUSINDBK";"5258"
"INFY";"1594"
"IOC";"1624"
"ITC";"1660"
"JSWSTEEL";"11723"
"KOTAKBANK";"1922"
"LT";"11483"
"M&M";"2031"
"MARUTI";"10999"
"NESTLEIND";"17963"
"NTPC";"11630"
"ONGC";"2475"
"POWERGRID";"14977"
"RELIANCE";"2885"
"SBILIFE";"21808"
"SBIN";"3045"
"SHREECEM";"3103"
"SUNPHARMA";"3351"
"TATAMOTORS";"3456"
"TATASTEEL";"3499"
"TCS";"11536"
"TECHM";"13538"
"TITAN";"3506"
"ULTRACEMCO";"11532"
"UPL";"11287"
"WIPRO";"3787"
